0	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
100	0.8387 0.03871 -0.04463 -0.05793	0.002892 -0.2585 0.1415 0.2497	0.01194 -0.253 -0.01022 -0.1075	-0.04642 -0.1541 -0.2164 -0.4097
200	1.61 0.1036 0.165 -0.2807	0.08341 -0.2664 0.1371 0.3199	0.1662 -0.2372 -0.4814 0.09813	-0.05485 -0.348 -0.08848 -0.69
300	2.508 0.2375 0.3191 -0.4451	-0.1208 -0.4118 -0.3693 0.4201	0.1864 -0.2881 -0.4461 -0.2183	-0.1901 -0.6293 0.2153 -1.096
400	2.918 0.3139 0.1017 -0.7681	-0.1295 -0.4552 -0.6448 0.666	0.1551 -0.527 -0.5738 -0.3923	-0.1913 -0.6628 0.2495 -1.039
500	3.132 0.6042 0.03754 -0.813	-0.1327 -0.3734 -0.6667 0.7083	0.3465 -0.6764 -0.6083 -0.4853	-0.3959 -0.4386 0.3391 -1.146
600	3.391 0.8032 0.2391 -0.9668	0.2472 -0.4054 -0.7079 0.9294	0.5157 -1.028 -0.5489 -0.6809	-0.182 -0.324 0.3877 -1.003
700	3.709 0.6486 0.5904 -1.525	0.1174 -0.3775 -0.8587 0.6753	0.3811 -1.141 -0.6415 -1.05	-0.4882 -0.1003 0.9836 -1.347
800	3.541 0.804 0.5242 -1.646	0.1999 -0.3473 -1.485 0.9247	0.4085 -1.081 -0.7332 -1.141	-0.5911 -0.1689 1.306 -1.186
900	3.627 0.6509 1.03 -1.399	-0.03971 -0.385 -1.354 0.8364	0.2878 -1.414 -0.7461 -0.9991	-0.7161 -0.0563 1.427 -1.32
1000	3.614 0.918 0.7025 -1.159	0.368 -0.4517 -1.4 0.6327	0.5349 -1.469 -0.5695 -0.8039	-0.6427 0.3624 1.37 -1.77
1100	3.806 0.939 0.6556 -0.637	0.2241 -0.3284 -1.311 0.5475	0.3997 -1.672 -0.579 -0.7691	-0.414 0.4774 1.482 -1.816
1200	3.888 0.9856 0.3565 -0.6303	0.4712 -0.5414 -1.488 0.3637	0.4901 -1.626 -0.4638 -0.6182	-0.6672 0.7637 1.824 -1.686
1300	4.145 0.7394 0.2287 -0.7558	0.9683 -0.9926 -1.416 0.5397	0.2828 -1.763 -0.2869 -0.798	-0.578 0.4013 1.881 -1.711
1400	4.117 0.9305 -0.02413 -0.7423	1.078 -1.022 -1.492 0.7226	0.4349 -2.366 -0.3371 -0.6981	-0.5892 0.433 1.929 -1.776
1500	4.217 0.7173 -0.1545 -1.017	1.141 -0.9061 -1.719 0.6369	0.3348 -2.528 -0.1833 -0.7381	-0.6896 0.2949 1.746 -1.668
1600	4.096 0.7833 -0.1051 -0.6347	1.349 -1.058 -1.415 0.6632	0.3853 -2.885 -0.05501 -0.5802	-0.6394 0.5879 1.916 -1.94
1700	4.241 1.055 -0.426 -0.5643	1.093 -1.057 -1.142 0.6517	0.3589 -2.661 -0.1811 -0.3472	-0.5837 1.077 1.602 -2.125
1800	4.079 1.08 -0.2285 0.1211	1.448 -1.353 -1.274 0.5818	0.5123 -2.473 -0.2888 -0.4176	-0.3799 0.7074 1.67 -2.048
1900	4.282 1.167 -0.4487 -0.137	1.723 -1.545 -1.129 0.5882	0.7329 -2.717 -0.3378 -0.8037	-0.4926 0.3717 1.704 -1.698
2000	4.695 1.272 -0.3168 0.06941	1.661 -1.483 -0.8101 0.7249	0.6349 -2.976 -0.333 -0.7234	-0.2533 0.3314 1.722 -1.805
2100	4.602 1.286 -0.3472 0.4922	1.569 -1.25 -0.5524 0.7613	0.5782 -3.141 -0.1204 -0.6361	-0.2172 0.1843 1.638 -1.872
2200	4.772 0.9558 -0.6662 0.6317	1.581 -1.485 -1.042 0.6094	0.3918 -3.233 -0.08867 -0.7626	-0.2346 0.125 1.539 -1.889
2300	4.816 0.9554 -0.6758 0.8625	1.765 -1.441 -1.041 0.9191	0.429 -3.044 -0.07035 -0.6606	-0.0394 0.2055 1.75 -1.968
2400	4.877 0.924 -0.6401 0.7528	1.702 -1.5 -0.8071 0.8297	0.3298 -2.979 0.09008 -0.7348	-0.2176 0.2225 1.751 -1.935
2500	4.885 1.431 -0.6556 0.8843	1.961 -1.432 -0.9264 0.627	0.3679 -3.018 0.1773 -0.7149	-0.1883 -0.1557 1.928 -1.874
2600	4.797 1.667 -0.4504 1.131	1.585 -1.162 -1.034 0.5319	0.4069 -2.967 -0.01278 -0.771	-0.1586 -0.05548 1.729 -1.971
2700	4.96 1.76 -0.09401 1.637	1.523 -1.088 -1.441 0.5755	0.4217 -3.138 0.07461 -0.8374	-0.09452 -0.1785 1.853 -2.244
2800	5.051 2.078 -0.1267 1.698	1.408 -1.002 -1.646 0.1817	0.4101 -3.302 -0.01229 -0.6432	0.04404 -0.1413 1.848 -2.426
2900	5.117 1.714 -0.191 1.809	1.6 -0.9996 -1.485 0.3998	0.4821 -3.104 -0.04972 -0.839	0.2067 -0.2165 2.217 -2.322
3000	5.005 1.769 -0.1831 1.673	1.252 -0.8826 -1.404 0.4687	0.2614 -3.315 -0.07418 -0.8045	0.247 -0.05674 2.382 -2.704
3100	5.166 1.633 0.1232 1.901	1.523 -0.7012 -1.242 0.1585	0.4713 -3.437 0.1283 -0.8505	0.09245 -0.2169 2.728 -2.434
3200	5.385 1.71 0.3492 1.773	1.269 -0.6076 -1.048 -0.1473	0.467 -3.541 0.2001 -0.8202	0.02016 -0.1765 2.957 -2.319
3300	5.686 1.57 -0.0147 1.695	1.596 -0.6319 -1.048 -0.05725	0.5253 -3.75 0.4533 -0.8984	-0.1251 -0.08482 3.054 -2.064
3400	5.543 1.472 -0.2513 1.854	1.781 -0.7117 -1.318 -0.07069	0.6404 -3.729 0.3212 -1.299	-0.1646 -0.2351 3.051 -2.199
3500	5.393 1.598 -0.3994 2.091	1.638 -0.4591 -1.475 -0.4373	0.7506 -3.456 0.1116 -1.036	-0.04325 -0.1527 3.455 -2.343
3600	5.217 1.457 -0.1651 2.086	1.576 -0.5928 -1.285 -0.7191	0.8972 -3.75 -0.1459 -1.044	-0.2857 -0.1355 3.842 -2.37
